PHI,1.502,1.09,0.999,1.099,1.174,1.04,1
CIN,1.412,1.129,1.036,1.172,0.904,1.03,0.96
TOR,1.403,1.149,1.043,1.469,0.44,1.06,1.08
HOU,1.323,1.109,1.027,0.946,1.474,1.08,1.03
MIL,1.307,1.068,1.081,0.908,1.113,1.03,1.04
BAL,1.216,1.018,0.94,0.848,0.646,1.09,0.99
NYY,1.146,1.029,1.026,0.924,0.622,1.04,0.97
CHW,1.142,1.03,0.933,0.758,0.456,1.01,0.92
COL,1.125,1.192,1.104,1.032,1.748,0.99,1.09
CHC,1.102,1.141,1.087,1.153,0.706,1.03,0.99
NYM,1.092,0.879,0.927,0.897,0.707,0.89,0.96
CLE,1.047,0.943,0.996,0.98,0.8,1,0.98
TEX,1.007,0.997,1.002,0.906,0.61,1.02,0.99
TB,0.976,0.933,0.959,0.885,1.468,1,0.95
SD,0.956,0.84,0.915,0.745,1.036,1.01,0.91
ARI,0.951,0.948,0.926,1.013,1.464,0.99,0.99
DET,0.937,1.092,1.022,1.054,1.27,0.99,1.07
ATL,0.93,0.981,0.969,0.939,1.081,1.03,0.91
KAN,0.913,1.036,0.999,0.984,1.691,0.99,0.94
LAD,0.911,0.858,0.938,0.922,0.535,0.96,0.92
BOS,0.908,1.042,1.045,1.287,1.403,1.05,1.07
LAA,0.839,0.967,1.031,0.989,1.134,0.99,1.04
MIN,0.826,1.071,1.046,1.136,0.837,1.02,0.99
WSN,0.822,0.996,1.065,0.994,0.627,0.96,0.98
STL,0.813,0.895,0.965,0.868,0.786,1.02,0.91
OAK,0.801,0.91,0.979,1.089,1.4,0.9,0.98
SEA,0.781,0.921,0.989,1.07,0.661,0.94,0.95
SFG,0.741,0.85,0.951,0.989,1.914,0.99,0.94
MIA,0.715,1.072,1.03,1.189,1.383,0.95,0.91
PIT,0.58,0.907,1.007,0.95,0.677,0.89,0.91
